date,open,high,low,close,volume,adj_close,200_dma,200_dma_pct_diff,200_dma_top_band,200_dma_bot_band,60_dma,60_dma_pct_diff,60_dma_top_band,60_dma_bot_band,20_dma,20_dma_pct_diff,20_dma_top_band,20_dma_bot_band,200_vma,200_vma_pct_diff,200_vma_top_band,200_vma_bot_band,60_vma,60_vma_pct_diff,60_vma_top_band,60_vma_bot_band,20_vma,20_vma_pct_diff,20_vma_top_band,20_vma_bot_band
2010-02-01,2155.81,2171.20,2152.26,2171.20,2234140000,2171.20,2007.72,0.08,2108.11,1907.34,2212.71,-0.02,2323.34,2102.07,2267.84,-0.04,2381.24,2154.45,2208736100.00,0.01,2319172905.00,2098299295.00,2022731333.33,0.10,2123867900.00,1921594766.67,2343182500.00,-0.05,2460341625.00,2226023375.00
2010-01-29,2198.26,2202.84,2140.34,2147.35,3090580000,2147.35,2005.12,0.07,2105.38,1904.86,2211.07,-0.03,2321.62,2100.52,2275.04,-0.06,2388.79,2161.29,2203496200.00,0.40,2313671010.00,2093321390.00,2011360333.33,0.54,2111928350.00,1910792316.67,2254287000.00,0.37,2367001350.00,2141572650.00
2010-01-28,2220.31,2220.87,2166.90,2179.00,2829640000,2179.00,2002.35,0.09,2102.47,1902.24,2208.84,-0.01,2319.28,2098.40,2280.51,-0.04,2394.54,2166.48,2200616250.00,0.29,2310647062.50,2090585437.50,2007704333.33,0.41,2108089550.00,1907319116.67,2171690500.00,0.30,2280275025.00,2063105975.00
2010-01-27,2200.30,2225.67,2192.59,2221.41,2492880000,2221.41,1999.51,0.11,2099.49,1899.54,2206.77,0.01,2317.11,2096.44,2283.99,-0.03,2398.19,2169.79,2197274500.00,0.13,2307138225.00,2087410775.00,2004512500.00,0.24,2104738125.00,1904286875.00,2108653000.00,0.18,2214085650.00,2003220350.00
2010-01-26,2203.44,2227.89,2195.44,2203.73,2361260000,2203.73,1996.76,0.10,2096.60,1896.92,2204.37,-0.00,2314.59,2094.15,2288.09,-0.04,2402.50,2173.69,2196295450.00,0.08,2306110222.50,2086480677.50,2011317666.67,0.17,2111883550.00,1910751783.33,2022222500.00,0.17,2123333625.00,1921111375.00
2010-01-25,2220.29,2223.22,2201.17,2210.80,2134350000,2210.80,1993.66,0.11,2093.34,1893.97,2202.79,0.00,2312.93,2092.65,2291.03,-0.04,2405.59,2176.48,2194813200.00,-0.03,2304553860.00,2085072540.00,2015488833.33,0.06,2116263275.00,1914714391.67,1994650000.00,0.07,2094382500.00,1894917500.00
2010-01-22,2255.76,2262.27,2200.37,2205.29,2817620000,2205.29,1990.44,0.11,2089.96,1890.92,2201.74,0.00,2311.82,2091.65,2293.40,-0.04,2408.07,2178.73,2189998600.00,0.29,2299498530.00,2080498670.00,2007132000.00,0.40,2107488600.00,1906775400.00,1939979000.00,0.45,2036977950.00,1842980050.00
2010-01-21,2298.23,2308.98,2259.82,2265.70,2877800000,2265.70,1987.14,0.14,2086.50,1887.79,2199.88,0.03,2309.88,2089.89,2292.00,-0.01,2406.60,2177.40,2185600050.00,0.32,2294880052.50,2076320047.50,1999867333.33,0.44,2099860700.00,1899873966.67,1886530500.00,0.53,1980857025.00,1792203975.00
2010-01-20,2304.31,2304.47,2268.68,2291.25,2351890000,2291.25,1983.80,0.15,2082.99,1884.61,2197.78,0.04,2307.67,2087.89,2288.02,0.00,2402.42,2173.62,2184407500.00,0.08,2293627875.00,2075187125.00,1998423000.00,0.18,2098344150.00,1898501850.00,1911356500.00,0.23,2006924325.00,1815788675.00
2010-01-19,2291.02,2320.40,2290.68,2320.40,2045290000,2320.40,1980.21,0.17,2079.22,1881.20,2194.96,0.06,2304.70,2085.21,2281.01,0.02,2395.06,2166.95,2188349050.00,-0.07,2297766502.50,2078931597.50,2007096166.67,0.02,2107450975.00,1906741358.33,1904334000.00,0.07,1999550700.00,1809117300.00
2010-01-15,2316.98,2322.54,2279.20,2287.99,2637770000,2287.99,1976.53,0.16,2075.35,1877.70,2192.88,0.04,2302.52,2083.24,2276.95,0.00,2390.80,2163.10,2186443100.00,0.21,2295765255.00,2077120945.00,1998309666.67,0.32,2098225150.00,1898394183.33,1873567500.00,0.41,1967245875.00,1779889125.00
